,NUM_AGE,TEXT_BANK,TARGET,COUNT
0,18,"Česká spořitelna, a.s.",0,44
1,18,"Česká spořitelna, a.s.",1,16
2,18,"Komerční banka, a.s.",0,14
3,18,"Komerční banka, a.s.",1,2
4,18,"Československá obchodní banka, a.s.",0,19
5,18,"Československá obchodní banka, a.s.",1,6
6,18,Equa bank a.s.,0,8
7,18,Equa bank a.s.,1,1
8,18,"MONETA Money Bank, a.s.",0,14
9,18,"MONETA Money Bank, a.s.",1,3
10,18,Raiffeisenbank a.s.,0,10
11,18,Raiffeisenbank a.s.,1,3
12,18,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,6
13,18,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,7
14,18,Air Bank a.s.,0,20
15,18,Air Bank a.s.,1,11
16,18,"Fio banka, a.s.",0,2
17,18,"Fio banka, a.s.",1,3
18,18,"mBank S.A., organizační složka",0,5
19,18,"mBank S.A., organizační složka",1,1
20,18,Anonymous Bank,0,0
21,18,Anonymous Bank,1,0
22,18,"Sberbank CZ, a.s.",0,0
23,18,"Sberbank CZ, a.s.",1,0
24,18,Waldviertler Sparkasse Bank AG,0,0
25,18,Waldviertler Sparkasse Bank AG,1,0
26,18,Banka CREDITAS a.s.,0,0
27,18,Banka CREDITAS a.s.,1,0
28,18,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
29,18,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
30,19,"Česká spořitelna, a.s.",0,39
31,19,"Česká spořitelna, a.s.",1,10
32,19,"Komerční banka, a.s.",0,16
33,19,"Komerční banka, a.s.",1,4
34,19,"Československá obchodní banka, a.s.",0,28
35,19,"Československá obchodní banka, a.s.",1,1
36,19,Equa bank a.s.,0,13
37,19,Equa bank a.s.,1,0
38,19,"MONETA Money Bank, a.s.",0,30
39,19,"MONETA Money Bank, a.s.",1,8
40,19,Raiffeisenbank a.s.,0,11
41,19,Raiffeisenbank a.s.,1,0
42,19,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,11
43,19,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1
44,19,Air Bank a.s.,0,28
45,19,Air Bank a.s.,1,8
46,19,"Fio banka, a.s.",0,7
47,19,"Fio banka, a.s.",1,1
48,19,"mBank S.A., organizační složka",0,6
49,19,"mBank S.A., organizační složka",1,0
50,19,Anonymous Bank,0,0
51,19,Anonymous Bank,1,0
52,19,"Sberbank CZ, a.s.",0,0
53,19,"Sberbank CZ, a.s.",1,0
54,19,Waldviertler Sparkasse Bank AG,0,0
55,19,Waldviertler Sparkasse Bank AG,1,0
56,19,Banka CREDITAS a.s.,0,0
57,19,Banka CREDITAS a.s.,1,0
58,19,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
59,19,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
60,20,"Česká spořitelna, a.s.",0,66
61,20,"Česká spořitelna, a.s.",1,6
62,20,"Komerční banka, a.s.",0,21
63,20,"Komerční banka, a.s.",1,4
64,20,"Československá obchodní banka, a.s.",0,34
65,20,"Československá obchodní banka, a.s.",1,6
66,20,Equa bank a.s.,0,25
67,20,Equa bank a.s.,1,3
68,20,"MONETA Money Bank, a.s.",0,29
69,20,"MONETA Money Bank, a.s.",1,4
70,20,Raiffeisenbank a.s.,0,13
71,20,Raiffeisenbank a.s.,1,2
72,20,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,16
73,20,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
74,20,Air Bank a.s.,0,30
75,20,Air Bank a.s.,1,6
76,20,"Fio banka, a.s.",0,11
77,20,"Fio banka, a.s.",1,2
78,20,"mBank S.A., organizační složka",0,6
79,20,"mBank S.A., organizační složka",1,0
80,20,Anonymous Bank,0,0
81,20,Anonymous Bank,1,1
82,20,"Sberbank CZ, a.s.",0,0
83,20,"Sberbank CZ, a.s.",1,0
84,20,Waldviertler Sparkasse Bank AG,0,0
85,20,Waldviertler Sparkasse Bank AG,1,0
86,20,Banka CREDITAS a.s.,0,0
87,20,Banka CREDITAS a.s.,1,0
88,20,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
89,20,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
90,21,"Česká spořitelna, a.s.",0,57
91,21,"Česká spořitelna, a.s.",1,8
92,21,"Komerční banka, a.s.",0,26
93,21,"Komerční banka, a.s.",1,3
94,21,"Československá obchodní banka, a.s.",0,23
95,21,"Československá obchodní banka, a.s.",1,4
96,21,Equa bank a.s.,0,24
97,21,Equa bank a.s.,1,3
98,21,"MONETA Money Bank, a.s.",0,24
99,21,"MONETA Money Bank, a.s.",1,2
100,21,Raiffeisenbank a.s.,0,11
101,21,Raiffeisenbank a.s.,1,0
102,21,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,12
103,21,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,2
104,21,Air Bank a.s.,0,35
105,21,Air Bank a.s.,1,1
106,21,"Fio banka, a.s.",0,12
107,21,"Fio banka, a.s.",1,1
108,21,"mBank S.A., organizační složka",0,5
109,21,"mBank S.A., organizační složka",1,0
110,21,Anonymous Bank,0,3
111,21,Anonymous Bank,1,0
112,21,"Sberbank CZ, a.s.",0,0
113,21,"Sberbank CZ, a.s.",1,0
114,21,Waldviertler Sparkasse Bank AG,0,0
115,21,Waldviertler Sparkasse Bank AG,1,0
116,21,Banka CREDITAS a.s.,0,0
117,21,Banka CREDITAS a.s.,1,0
118,21,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
119,21,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
120,22,"Česká spořitelna, a.s.",0,63
121,22,"Česká spořitelna, a.s.",1,2
122,22,"Komerční banka, a.s.",0,20
123,22,"Komerční banka, a.s.",1,2
124,22,"Československá obchodní banka, a.s.",0,28
125,22,"Československá obchodní banka, a.s.",1,2
126,22,Equa bank a.s.,0,19
127,22,Equa bank a.s.,1,1
128,22,"MONETA Money Bank, a.s.",0,28
129,22,"MONETA Money Bank, a.s.",1,1
130,22,Raiffeisenbank a.s.,0,6
131,22,Raiffeisenbank a.s.,1,1
132,22,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,7
133,22,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1
134,22,Air Bank a.s.,0,44
135,22,Air Bank a.s.,1,7
136,22,"Fio banka, a.s.",0,11
137,22,"Fio banka, a.s.",1,3
138,22,"mBank S.A., organizační složka",0,8
139,22,"mBank S.A., organizační složka",1,0
140,22,Anonymous Bank,0,1
141,22,Anonymous Bank,1,2
142,22,"Sberbank CZ, a.s.",0,0
143,22,"Sberbank CZ, a.s.",1,0
144,22,Waldviertler Sparkasse Bank AG,0,0
145,22,Waldviertler Sparkasse Bank AG,1,0
146,22,Banka CREDITAS a.s.,0,0
147,22,Banka CREDITAS a.s.,1,0
148,22,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
149,22,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
150,23,"Česká spořitelna, a.s.",0,67
151,23,"Česká spořitelna, a.s.",1,9
152,23,"Komerční banka, a.s.",0,23
153,23,"Komerční banka, a.s.",1,4
154,23,"Československá obchodní banka, a.s.",0,30
155,23,"Československá obchodní banka, a.s.",1,1
156,23,Equa bank a.s.,0,17
157,23,Equa bank a.s.,1,4
158,23,"MONETA Money Bank, a.s.",0,44
159,23,"MONETA Money Bank, a.s.",1,8
160,23,Raiffeisenbank a.s.,0,7
161,23,Raiffeisenbank a.s.,1,1
162,23,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,4
163,23,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1
164,23,Air Bank a.s.,0,31
165,23,Air Bank a.s.,1,1
166,23,"Fio banka, a.s.",0,11
167,23,"Fio banka, a.s.",1,0
168,23,"mBank S.A., organizační složka",0,6
169,23,"mBank S.A., organizační složka",1,2
170,23,Anonymous Bank,0,1
171,23,Anonymous Bank,1,0
172,23,"Sberbank CZ, a.s.",0,0
173,23,"Sberbank CZ, a.s.",1,0
174,23,Waldviertler Sparkasse Bank AG,0,0
175,23,Waldviertler Sparkasse Bank AG,1,0
176,23,Banka CREDITAS a.s.,0,0
177,23,Banka CREDITAS a.s.,1,0
178,23,"BNP Paribas Personal Finance SA, odštěpný závod",0,1
179,23,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
180,24,"Česká spořitelna, a.s.",0,56
181,24,"Česká spořitelna, a.s.",1,5
182,24,"Komerční banka, a.s.",0,18
183,24,"Komerční banka, a.s.",1,2
184,24,"Československá obchodní banka, a.s.",0,31
185,24,"Československá obchodní banka, a.s.",1,0
186,24,Equa bank a.s.,0,25
187,24,Equa bank a.s.,1,2
188,24,"MONETA Money Bank, a.s.",0,38
189,24,"MONETA Money Bank, a.s.",1,6
190,24,Raiffeisenbank a.s.,0,9
191,24,Raiffeisenbank a.s.,1,1
192,24,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,8
193,24,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1
194,24,Air Bank a.s.,0,35
195,24,Air Bank a.s.,1,4
196,24,"Fio banka, a.s.",0,21
197,24,"Fio banka, a.s.",1,0
198,24,"mBank S.A., organizační složka",0,5
199,24,"mBank S.A., organizační složka",1,0
200,24,Anonymous Bank,0,0
201,24,Anonymous Bank,1,0
202,24,"Sberbank CZ, a.s.",0,0
203,24,"Sberbank CZ, a.s.",1,0
204,24,Waldviertler Sparkasse Bank AG,0,0
205,24,Waldviertler Sparkasse Bank AG,1,0
206,24,Banka CREDITAS a.s.,0,0
207,24,Banka CREDITAS a.s.,1,0
208,24,"BNP Paribas Personal Finance SA, odštěpný závod",0,1
209,24,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
210,25,"Česká spořitelna, a.s.",0,56
211,25,"Česká spořitelna, a.s.",1,5
212,25,"Komerční banka, a.s.",0,17
213,25,"Komerční banka, a.s.",1,3
214,25,"Československá obchodní banka, a.s.",0,24
215,25,"Československá obchodní banka, a.s.",1,0
216,25,Equa bank a.s.,0,20
217,25,Equa bank a.s.,1,1
218,25,"MONETA Money Bank, a.s.",0,47
219,25,"MONETA Money Bank, a.s.",1,3
220,25,Raiffeisenbank a.s.,0,9
221,25,Raiffeisenbank a.s.,1,2
222,25,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,10
223,25,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1
224,25,Air Bank a.s.,0,37
225,25,Air Bank a.s.,1,5
226,25,"Fio banka, a.s.",0,14
227,25,"Fio banka, a.s.",1,3
228,25,"mBank S.A., organizační složka",0,9
229,25,"mBank S.A., organizační složka",1,0
230,25,Anonymous Bank,0,1
231,25,Anonymous Bank,1,0
232,25,"Sberbank CZ, a.s.",0,1
233,25,"Sberbank CZ, a.s.",1,0
234,25,Waldviertler Sparkasse Bank AG,0,1
235,25,Waldviertler Sparkasse Bank AG,1,0
236,25,Banka CREDITAS a.s.,0,1
237,25,Banka CREDITAS a.s.,1,0
238,25,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
239,25,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
240,26,"Česká spořitelna, a.s.",0,50
241,26,"Česká spořitelna, a.s.",1,8
242,26,"Komerční banka, a.s.",0,28
243,26,"Komerční banka, a.s.",1,5
244,26,"Československá obchodní banka, a.s.",0,26
245,26,"Československá obchodní banka, a.s.",1,4
246,26,Equa bank a.s.,0,13
247,26,Equa bank a.s.,1,2
248,26,"MONETA Money Bank, a.s.",0,33
249,26,"MONETA Money Bank, a.s.",1,1
250,26,Raiffeisenbank a.s.,0,9
251,26,Raiffeisenbank a.s.,1,1
252,26,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,5
253,26,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1
254,26,Air Bank a.s.,0,37
255,26,Air Bank a.s.,1,2
256,26,"Fio banka, a.s.",0,18
257,26,"Fio banka, a.s.",1,0
258,26,"mBank S.A., organizační složka",0,7
259,26,"mBank S.A., organizační složka",1,1
260,26,Anonymous Bank,0,1
261,26,Anonymous Bank,1,0
262,26,"Sberbank CZ, a.s.",0,2
263,26,"Sberbank CZ, a.s.",1,0
264,26,Waldviertler Sparkasse Bank AG,0,0
265,26,Waldviertler Sparkasse Bank AG,1,0
266,26,Banka CREDITAS a.s.,0,0
267,26,Banka CREDITAS a.s.,1,0
268,26,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
269,26,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
270,27,"Česká spořitelna, a.s.",0,62
271,27,"Česká spořitelna, a.s.",1,5
272,27,"Komerční banka, a.s.",0,28
273,27,"Komerční banka, a.s.",1,0
274,27,"Československá obchodní banka, a.s.",0,28
275,27,"Československá obchodní banka, a.s.",1,2
276,27,Equa bank a.s.,0,25
277,27,Equa bank a.s.,1,0
278,27,"MONETA Money Bank, a.s.",0,32
279,27,"MONETA Money Bank, a.s.",1,1
280,27,Raiffeisenbank a.s.,0,13
281,27,Raiffeisenbank a.s.,1,3
282,27,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,5
283,27,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1
284,27,Air Bank a.s.,0,28
285,27,Air Bank a.s.,1,4
286,27,"Fio banka, a.s.",0,12
287,27,"Fio banka, a.s.",1,1
288,27,"mBank S.A., organizační složka",0,9
289,27,"mBank S.A., organizační složka",1,0
290,27,Anonymous Bank,0,1
291,27,Anonymous Bank,1,0
292,27,"Sberbank CZ, a.s.",0,0
293,27,"Sberbank CZ, a.s.",1,0
294,27,Waldviertler Sparkasse Bank AG,0,1
295,27,Waldviertler Sparkasse Bank AG,1,0
296,27,Banka CREDITAS a.s.,0,0
297,27,Banka CREDITAS a.s.,1,0
298,27,"BNP Paribas Personal Finance SA, odštěpný závod",0,1
299,27,"BNP Paribas Personal Finance SA, odštěpný závod",1,1
300,28,"Česká spořitelna, a.s.",0,44
301,28,"Česká spořitelna, a.s.",1,5
302,28,"Komerční banka, a.s.",0,24
303,28,"Komerční banka, a.s.",1,0
304,28,"Československá obchodní banka, a.s.",0,20
305,28,"Československá obchodní banka, a.s.",1,0
306,28,Equa bank a.s.,0,16
307,28,Equa bank a.s.,1,2
308,28,"MONETA Money Bank, a.s.",0,29
309,28,"MONETA Money Bank, a.s.",1,2
310,28,Raiffeisenbank a.s.,0,11
311,28,Raiffeisenbank a.s.,1,1
312,28,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,6
313,28,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
314,28,Air Bank a.s.,0,27
315,28,Air Bank a.s.,1,3
316,28,"Fio banka, a.s.",0,10
317,28,"Fio banka, a.s.",1,1
318,28,"mBank S.A., organizační složka",0,4
319,28,"mBank S.A., organizační složka",1,0
320,28,Anonymous Bank,0,1
321,28,Anonymous Bank,1,2
322,28,"Sberbank CZ, a.s.",0,1
323,28,"Sberbank CZ, a.s.",1,0
324,28,Waldviertler Sparkasse Bank AG,0,0
325,28,Waldviertler Sparkasse Bank AG,1,0
326,28,Banka CREDITAS a.s.,0,0
327,28,Banka CREDITAS a.s.,1,0
328,28,"BNP Paribas Personal Finance SA, odštěpný závod",0,1
329,28,"BNP Paribas Personal Finance SA, odštěpný závod",1,1
330,29,"Česká spořitelna, a.s.",0,38
331,29,"Česká spořitelna, a.s.",1,2
332,29,"Komerční banka, a.s.",0,15
333,29,"Komerční banka, a.s.",1,1
334,29,"Československá obchodní banka, a.s.",0,22
335,29,"Československá obchodní banka, a.s.",1,1
336,29,Equa bank a.s.,0,12
337,29,Equa bank a.s.,1,2
338,29,"MONETA Money Bank, a.s.",0,23
339,29,"MONETA Money Bank, a.s.",1,1
340,29,Raiffeisenbank a.s.,0,10
341,29,Raiffeisenbank a.s.,1,4
342,29,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,8
343,29,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
344,29,Air Bank a.s.,0,29
345,29,Air Bank a.s.,1,1
346,29,"Fio banka, a.s.",0,9
347,29,"Fio banka, a.s.",1,1
348,29,"mBank S.A., organizační složka",0,4
349,29,"mBank S.A., organizační složka",1,3
350,29,Anonymous Bank,0,0
351,29,Anonymous Bank,1,1
352,29,"Sberbank CZ, a.s.",0,0
353,29,"Sberbank CZ, a.s.",1,0
354,29,Waldviertler Sparkasse Bank AG,0,0
355,29,Waldviertler Sparkasse Bank AG,1,0
356,29,Banka CREDITAS a.s.,0,0
357,29,Banka CREDITAS a.s.,1,0
358,29,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
359,29,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
360,30,"Česká spořitelna, a.s.",0,41
361,30,"Česká spořitelna, a.s.",1,1
362,30,"Komerční banka, a.s.",0,17
363,30,"Komerční banka, a.s.",1,3
364,30,"Československá obchodní banka, a.s.",0,17
365,30,"Československá obchodní banka, a.s.",1,2
366,30,Equa bank a.s.,0,10
367,30,Equa bank a.s.,1,1
368,30,"MONETA Money Bank, a.s.",0,28
369,30,"MONETA Money Bank, a.s.",1,4
370,30,Raiffeisenbank a.s.,0,4
371,30,Raiffeisenbank a.s.,1,1
372,30,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,7
373,30,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
374,30,Air Bank a.s.,0,21
375,30,Air Bank a.s.,1,3
376,30,"Fio banka, a.s.",0,7
377,30,"Fio banka, a.s.",1,0
378,30,"mBank S.A., organizační složka",0,5
379,30,"mBank S.A., organizační složka",1,0
380,30,Anonymous Bank,0,0
381,30,Anonymous Bank,1,0
382,30,"Sberbank CZ, a.s.",0,0
383,30,"Sberbank CZ, a.s.",1,0
384,30,Waldviertler Sparkasse Bank AG,0,0
385,30,Waldviertler Sparkasse Bank AG,1,0
386,30,Banka CREDITAS a.s.,0,0
387,30,Banka CREDITAS a.s.,1,0
388,30,"BNP Paribas Personal Finance SA, odštěpný závod",0,1
389,30,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
390,31,"Česká spořitelna, a.s.",0,33
391,31,"Česká spořitelna, a.s.",1,3
392,31,"Komerční banka, a.s.",0,15
393,31,"Komerční banka, a.s.",1,1
394,31,"Československá obchodní banka, a.s.",0,13
395,31,"Československá obchodní banka, a.s.",1,1
396,31,Equa bank a.s.,0,7
397,31,Equa bank a.s.,1,0
398,31,"MONETA Money Bank, a.s.",0,16
399,31,"MONETA Money Bank, a.s.",1,0
400,31,Raiffeisenbank a.s.,0,13
401,31,Raiffeisenbank a.s.,1,1
402,31,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,1
403,31,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
404,31,Air Bank a.s.,0,20
405,31,Air Bank a.s.,1,2
406,31,"Fio banka, a.s.",0,6
407,31,"Fio banka, a.s.",1,0
408,31,"mBank S.A., organizační složka",0,3
409,31,"mBank S.A., organizační složka",1,0
410,31,Anonymous Bank,0,1
411,31,Anonymous Bank,1,0
412,31,"Sberbank CZ, a.s.",0,0
413,31,"Sberbank CZ, a.s.",1,0
414,31,Waldviertler Sparkasse Bank AG,0,0
415,31,Waldviertler Sparkasse Bank AG,1,0
416,31,Banka CREDITAS a.s.,0,0
417,31,Banka CREDITAS a.s.,1,0
418,31,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
419,31,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
420,32,"Česká spořitelna, a.s.",0,27
421,32,"Česká spořitelna, a.s.",1,4
422,32,"Komerční banka, a.s.",0,12
423,32,"Komerční banka, a.s.",1,1
424,32,"Československá obchodní banka, a.s.",0,19
425,32,"Československá obchodní banka, a.s.",1,0
426,32,Equa bank a.s.,0,7
427,32,Equa bank a.s.,1,0
428,32,"MONETA Money Bank, a.s.",0,11
429,32,"MONETA Money Bank, a.s.",1,4
430,32,Raiffeisenbank a.s.,0,7
431,32,Raiffeisenbank a.s.,1,1
432,32,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,7
433,32,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
434,32,Air Bank a.s.,0,25
435,32,Air Bank a.s.,1,1
436,32,"Fio banka, a.s.",0,2
437,32,"Fio banka, a.s.",1,2
438,32,"mBank S.A., organizační složka",0,5
439,32,"mBank S.A., organizační složka",1,0
440,32,Anonymous Bank,0,0
441,32,Anonymous Bank,1,1
442,32,"Sberbank CZ, a.s.",0,0
443,32,"Sberbank CZ, a.s.",1,0
444,32,Waldviertler Sparkasse Bank AG,0,1
445,32,Waldviertler Sparkasse Bank AG,1,0
446,32,Banka CREDITAS a.s.,0,0
447,32,Banka CREDITAS a.s.,1,0
448,32,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
449,32,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
450,33,"Česká spořitelna, a.s.",0,32
451,33,"Česká spořitelna, a.s.",1,1
452,33,"Komerční banka, a.s.",0,18
453,33,"Komerční banka, a.s.",1,0
454,33,"Československá obchodní banka, a.s.",0,11
455,33,"Československá obchodní banka, a.s.",1,2
456,33,Equa bank a.s.,0,6
457,33,Equa bank a.s.,1,1
458,33,"MONETA Money Bank, a.s.",0,13
459,33,"MONETA Money Bank, a.s.",1,0
460,33,Raiffeisenbank a.s.,0,5
461,33,Raiffeisenbank a.s.,1,0
462,33,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,7
463,33,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
464,33,Air Bank a.s.,0,24
465,33,Air Bank a.s.,1,1
466,33,"Fio banka, a.s.",0,9
467,33,"Fio banka, a.s.",1,1
468,33,"mBank S.A., organizační složka",0,2
469,33,"mBank S.A., organizační složka",1,0
470,33,Anonymous Bank,0,0
471,33,Anonymous Bank,1,0
472,33,"Sberbank CZ, a.s.",0,1
473,33,"Sberbank CZ, a.s.",1,0
474,33,Waldviertler Sparkasse Bank AG,0,0
475,33,Waldviertler Sparkasse Bank AG,1,0
476,33,Banka CREDITAS a.s.,0,0
477,33,Banka CREDITAS a.s.,1,0
478,33,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
479,33,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
480,34,"Česká spořitelna, a.s.",0,19
481,34,"Česká spořitelna, a.s.",1,0
482,34,"Komerční banka, a.s.",0,13
483,34,"Komerční banka, a.s.",1,2
484,34,"Československá obchodní banka, a.s.",0,8
485,34,"Československá obchodní banka, a.s.",1,1
486,34,Equa bank a.s.,0,6
487,34,Equa bank a.s.,1,1
488,34,"MONETA Money Bank, a.s.",0,18
489,34,"MONETA Money Bank, a.s.",1,0
490,34,Raiffeisenbank a.s.,0,5
491,34,Raiffeisenbank a.s.,1,2
492,34,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,3
493,34,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1
494,34,Air Bank a.s.,0,11
495,34,Air Bank a.s.,1,1
496,34,"Fio banka, a.s.",0,2
497,34,"Fio banka, a.s.",1,0
498,34,"mBank S.A., organizační složka",0,4
499,34,"mBank S.A., organizační složka",1,3
500,34,Anonymous Bank,0,1
501,34,Anonymous Bank,1,0
502,34,"Sberbank CZ, a.s.",0,1
503,34,"Sberbank CZ, a.s.",1,0
504,34,Waldviertler Sparkasse Bank AG,0,0
505,34,Waldviertler Sparkasse Bank AG,1,0
506,34,Banka CREDITAS a.s.,0,0
507,34,Banka CREDITAS a.s.,1,0
508,34,"BNP Paribas Personal Finance SA, odštěpný závod",0,0
